Name,Class,Parent,ROI,Measurements
AI_Abnormal_33,Abnormal,,RECTANGLE (81920 0 256 256),AI_Confidence:0.915;Method:MONAI_Demo
AI_Abnormal_34,Abnormal,,RECTANGLE (82432 0 256 256),AI_Confidence:0.881;Method:MONAI_Demo
AI_Abnormal_35,Abnormal,,RECTANGLE (82944 0 256 256),AI_Confidence:0.944;Method:MONAI_Demo
AI_Abnormal_36,Abnormal,,RECTANGLE (83968 0 256 256),AI_Confidence:0.862;Method:MONAI_Demo
AI_Abnormal_37,Abnormal,,RECTANGLE (84480 0 256 256),AI_Confidence:0.747;Method:MONAI_Demo
AI_Abnormal_38,Abnormal,,RECTANGLE (89088 0 256 256),AI_Confidence:0.938;Method:MONAI_Demo
AI_Abnormal_39,Abnormal,,RECTANGLE (91648 0 256 256),AI_Confidence:0.704;Method:MONAI_Demo
AI_Abnormal_40,Abnormal,,RECTANGLE (94208 0 256 256),AI_Confidence:0.872;Method:MONAI_Demo
AI_Abnormal_41,Abnormal,,RECTANGLE (94720 0 256 256),AI_Confidence:0.921;Method:MONAI_Demo
AI_Abnormal_42,Abnormal,,RECTANGLE (100352 0 256 256),AI_Confidence:0.783;Method:MONAI_Demo
AI_Abnormal_43,Abnormal,,RECTANGLE (100864 0 256 256),AI_Confidence:0.847;Method:MONAI_Demo
AI_Abnormal_44,Abnormal,,RECTANGLE (102912 0 256 256),AI_Confidence:0.811;Method:MONAI_Demo
AI_Abnormal_45,Abnormal,,RECTANGLE (103424 0 256 256),AI_Confidence:0.799;Method:MONAI_Demo
AI_Abnormal_46,Abnormal,,RECTANGLE (104448 0 256 256),AI_Confidence:0.768;Method:MONAI_Demo
AI_Abnormal_47,Abnormal,,RECTANGLE (104960 0 256 256),AI_Confidence:0.738;Method:MONAI_Demo
AI_Abnormal_48,Abnormal,,RECTANGLE (109056 0 256 256),AI_Confidence:0.813;Method:MONAI_Demo
AI_Abnormal_49,Abnormal,,RECTANGLE (114176 0 256 256),AI_Confidence:0.846;Method:MONAI_Demo
AI_Abnormal_50,Abnormal,,RECTANGLE (115200 0 256 256),AI_Confidence:0.917;Method:MONAI_Demo
AI_Abnormal_51,Abnormal,,RECTANGLE (117248 0 256 256),AI_Confidence:0.907;Method:MONAI_Demo
AI_Abnormal_52,Abnormal,,RECTANGLE (117760 0 256 256),AI_Confidence:0.914;Method:MONAI_Demo
AI_Abnormal_53,Abnormal,,RECTANGLE (118784 0 256 256),AI_Confidence:0.873;Method:MONAI_Demo
AI_Abnormal_54,Abnormal,,RECTANGLE (121344 0 256 256),AI_Confidence:0.768;Method:MONAI_Demo
AI_Abnormal_55,Abnormal,,RECTANGLE (123392 0 256 256),AI_Confidence:0.840;Method:MONAI_Demo
AI_Abnormal_56,Abnormal,,RECTANGLE (127488 0 256 256),AI_Confidence:0.847;Method:MONAI_Demo
AI_Abnormal_57,Abnormal,,RECTANGLE (128000 0 256 256),AI_Confidence:0.905;Method:MONAI_Demo
AI_Abnormal_58,Abnormal,,RECTANGLE (130048 0 256 256),AI_Confidence:0.794;Method:MONAI_Demo
AI_Abnormal_59,Abnormal,,RECTANGLE (136192 0 256 256),AI_Confidence:0.903;Method:MONAI_Demo
AI_Abnormal_60,Abnormal,,RECTANGLE (136704 0 256 256),AI_Confidence:0.929;Method:MONAI_Demo
AI_Abnormal_61,Abnormal,,RECTANGLE (137216 0 256 256),AI_Confidence:0.814;Method:MONAI_Demo
AI_Abnormal_62,Abnormal,,RECTANGLE (137728 0 256 256),AI_Confidence:0.911;Method:MONAI_Demo
AI_Abnormal_63,Abnormal,,RECTANGLE (139776 0 256 256),AI_Confidence:0.853;Method:MONAI_Demo
AI_Abnormal_64,Abnormal,,RECTANGLE (143872 0 256 256),AI_Confidence:0.955;Method:MONAI_Demo
AI_Abnormal_65,Abnormal,,RECTANGLE (146944 0 256 256),AI_Confidence:0.727;Method:MONAI_Demo
AI_Abnormal_66,Abnormal,,RECTANGLE (152064 0 256 256),AI_Confidence:0.812;Method:MONAI_Demo
AI_Abnormal_67,Abnormal,,RECTANGLE (152576 0 256 256),AI_Confidence:0.901;Method:MONAI_Demo
AI_Abnormal_68,Abnormal,,RECTANGLE (153600 0 256 256),AI_Confidence:0.774;Method:MONAI_Demo
AI_Abnormal_69,Abnormal,,RECTANGLE (154112 0 256 256),AI_Confidence:0.847;Method:MONAI_Demo
AI_Abnormal_70,Abnormal,,RECTANGLE (154624 0 256 256),AI_Confidence:0.704;Method:MONAI_Demo
AI_Abnormal_71,Abnormal,,RECTANGLE (156160 0 256 256),AI_Confidence:0.711;Method:MONAI_Demo
AI_Abnormal_72,Abnormal,,RECTANGLE (162816 0 256 256),AI_Confidence:0.926;Method:MONAI_Demo
AI_Abnormal_73,Abnormal,,RECTANGLE (163328 0 256 256),AI_Confidence:0.775;Method:MONAI_Demo
AI_Abnormal_74,Abnormal,,RECTANGLE (163840 0 256 256),AI_Confidence:0.965;Method:MONAI_Demo
AI_Abnormal_75,Abnormal,,RECTANGLE (164864 0 256 256),AI_Confidence:0.755;Method:MONAI_Demo
AI_Abnormal_76,Abnormal,,RECTANGLE (166912 0 256 256),AI_Confidence:0.957;Method:MONAI_Demo
AI_Abnormal_77,Abnormal,,RECTANGLE (167424 0 256 256),AI_Confidence:0.932;Method:MONAI_Demo
AI_Abnormal_78,Abnormal,,RECTANGLE (168448 0 256 256),AI_Confidence:0.831;Method:MONAI_Demo
AI_Abnormal_79,Abnormal,,RECTANGLE (169984 0 256 256),AI_Confidence:0.754;Method:MONAI_Demo
AI_Abnormal_80,Abnormal,,RECTANGLE (178176 0 256 256),AI_Confidence:0.774;Method:MONAI_Demo
AI_Abnormal_81,Abnormal,,RECTANGLE (181248 0 256 256),AI_Confidence:0.743;Method:MONAI_Demo
AI_Abnormal_82,Abnormal,,RECTANGLE (183808 0 256 256),AI_Confidence:0.799;Method:MONAI_Demo
AI_Abnormal_83,Abnormal,,RECTANGLE (184320 0 256 256),AI_Confidence:0.717;Method:MONAI_Demo
AI_Abnormal_84,Abnormal,,RECTANGLE (184832 0 256 256),AI_Confidence:0.799;Method:MONAI_Demo
AI_Abnormal_85,Abnormal,,RECTANGLE (512 512 256 256),AI_Confidence:0.776;Method:MONAI_Demo
AI_Abnormal_86,Abnormal,,RECTANGLE (5632 512 256 256),AI_Confidence:0.799;Method:MONAI_Demo
AI_Abnormal_87,Abnormal,,RECTANGLE (12288 512 256 256),AI_Confidence:0.931;Method:MONAI_Demo
AI_Abnormal_88,Abnormal,,RECTANGLE (13824 512 256 256),AI_Confidence:0.751;Method:MONAI_Demo
AI_Abnormal_89,Abnormal,,RECTANGLE (16384 512 256 256),AI_Confidence:0.804;Method:MONAI_Demo
AI_Abnormal_90,Abnormal,,RECTANGLE (16896 512 256 256),AI_Confidence:0.925;Method:MONAI_Demo
AI_Abnormal_91,Abnormal,,RECTANGLE (25088 512 256 256),AI_Confidence:0.714;Method:MONAI_Demo
AI_Abnormal_92,Abnormal,,RECTANGLE (25600 512 256 256),AI_Confidence:0.722;Method:MONAI_Demo
AI_Abnormal_93,Abnormal,,RECTANGLE (31232 512 256 256),AI_Confidence:0.866;Method:MONAI_Demo
AI_Abnormal_94,Abnormal,,RECTANGLE (32256 512 256 256),AI_Confidence:0.794;Method:MONAI_Demo
AI_Abnormal_95,Abnormal,,RECTANGLE (32768 512 256 256),AI_Confidence:0.733;Method:MONAI_Demo
AI_Abnormal_96,Abnormal,,RECTANGLE (35328 512 256 256),AI_Confidence:0.808;Method:MONAI_Demo
AI_Abnormal_97,Abnormal,,RECTANGLE (36352 512 256 256),AI_Confidence:0.978;Method:MONAI_Demo
AI_Abnormal_98,Abnormal,,RECTANGLE (39936 512 256 256),AI_Confidence:0.909;Method:MONAI_Demo
AI_Abnormal_99,Abnormal,,RECTANGLE (46592 512 256 256),AI_Confidence:0.718;Method:MONAI_Demo
AI_Abnormal_100,Abnormal,,RECTANGLE (49152 512 256 256),AI_Confidence:0.941;Method:MONAI_Demo
AI_Abnormal_101,Abnormal,,RECTANGLE (53760 512 256 256),AI_Confidence:0.831;Method:MONAI_Demo
AI_Abnormal_102,Abnormal,,RECTANGLE (54784 512 256 256),AI_Confidence:0.906;Method:MONAI_Demo
AI_Abnormal_103,Abnormal,,RECTANGLE (55296 512 256 256),AI_Confidence:0.833;Method:MONAI_Demo
AI_Abnormal_104,Abnormal,,RECTANGLE (56320 512 256 256),AI_Confidence:0.916;Method:MONAI_Demo
AI_Abnormal_105,Abnormal,,RECTANGLE (59392 512 256 256),AI_Confidence:0.731;Method:MONAI_Demo
AI_Abnormal_106,Abnormal,,RECTANGLE (60416 512 256 256),AI_Confidence:0.900;Method:MONAI_Demo
AI_Abnormal_107,Abnormal,,RECTANGLE (61440 512 256 256),AI_Confidence:0.970;Method:MONAI_Demo
AI_Abnormal_108,Abnormal,,RECTANGLE (64000 512 256 256),AI_Confidence:0.700;Method:MONAI_Demo
AI_Abnormal_109,Abnormal,,RECTANGLE (64512 512 256 256),AI_Confidence:0.729;Method:MONAI_Demo
AI_Abnormal_110,Abnormal,,RECTANGLE (67584 512 256 256),AI_Confidence:0.763;Method:MONAI_Demo
AI_Abnormal_111,Abnormal,,RECTANGLE (69120 512 256 256),AI_Confidence:0.741;Method:MONAI_Demo
AI_Abnormal_112,Abnormal,,RECTANGLE (72192 512 256 256),AI_Confidence:0.786;Method:MONAI_Demo
AI_Abnormal_113,Abnormal,,RECTANGLE (75776 512 256 256),AI_Confidence:0.729;Method:MONAI_Demo
AI_Abnormal_114,Abnormal,,RECTANGLE (78848 512 256 256),AI_Confidence:0.809;Method:MONAI_Demo
AI_Abnormal_115,Abnormal,,RECTANGLE (81408 512 256 256),AI_Confidence:0.721;Method:MONAI_Demo
AI_Abnormal_116,Abnormal,,RECTANGLE (82432 512 256 256),AI_Confidence:0.734;Method:MONAI_Demo
AI_Abnormal_117,Abnormal,,RECTANGLE (83456 512 256 256),AI_Confidence:0.833;Method:MONAI_Demo
AI_Abnormal_118,Abnormal,,RECTANGLE (86528 512 256 256),AI_Confidence:0.851;Method:MONAI_Demo
AI_Abnormal_119,Abnormal,,RECTANGLE (88576 512 256 256),AI_Confidence:0.967;Method:MONAI_Demo
AI_Abnormal_120,Abnormal,,RECTANGLE (89600 512 256 256),AI_Confidence:0.836;Method:MONAI_Demo
AI_Abnormal_121,Abnormal,,RECTANGLE (94208 512 256 256),AI_Confidence:0.950;Method:MONAI_Demo
AI_Abnormal_122,Abnormal,,RECTANGLE (94720 512 256 256),AI_Confidence:0.710;Method:MONAI_Demo
AI_Abnormal_123,Abnormal,,RECTANGLE (95232 512 256 256),AI_Confidence:0.871;Method:MONAI_Demo
AI_Abnormal_124,Abnormal,,RECTANGLE (96256 512 256 256),AI_Confidence:0.865;Method:MONAI_Demo
AI_Abnormal_125,Abnormal,,RECTANGLE (108032 512 256 256),AI_Confidence:0.850;Method:MONAI_Demo
AI_Abnormal_126,Abnormal,,RECTANGLE (110080 512 256 256),AI_Confidence:0.873;Method:MONAI_Demo
AI_Abnormal_127,Abnormal,,RECTANGLE (111616 512 256 256),AI_Confidence:0.798;Method:MONAI_Demo
AI_Abnormal_128,Abnormal,,RECTANGLE (112128 512 256 256),AI_Confidence:0.748;Method:MONAI_Demo
AI_Abnormal_129,Abnormal,,RECTANGLE (113664 512 256 256),AI_Confidence:0.897;Method:MONAI_Demo
AI_Abnormal_130,Abnormal,,RECTANGLE (114688 512 256 256),AI_Confidence:0.724;Method:MONAI_Demo
AI_Abnormal_131,Abnormal,,RECTANGLE (115200 512 256 256),AI_Confidence:0.913;Method:MONAI_Demo
AI_Abnormal_132,Abnormal,,RECTANGLE (115712 512 256 256),AI_Confidence:0.837;Method:MONAI_Demo
AI_Abnormal_133,Abnormal,,RECTANGLE (117248 512 256 256),AI_Confidence:0.733;Method:MONAI_Demo
AI_Abnormal_134,Abnormal,,RECTANGLE (120832 512 256 256),AI_Confidence:0.825;Method:MONAI_Demo
AI_Abnormal_135,Abnormal,,RECTANGLE (127488 512 256 256),AI_Confidence:0.944;Method:MONAI_Demo
AI_Abnormal_136,Abnormal,,RECTANGLE (129536 512 256 256),AI_Confidence:0.824;Method:MONAI_Demo
AI_Abnormal_137,Abnormal,,RECTANGLE (130048 512 256 256),AI_Confidence:0.896;Method:MONAI_Demo
AI_Abnormal_138,Abnormal,,RECTANGLE (130560 512 256 256),AI_Confidence:0.890;Method:MONAI_Demo
AI_Abnormal_139,Abnormal,,RECTANGLE (136704 512 256 256),AI_Confidence:0.833;Method:MONAI_Demo
AI_Abnormal_140,Abnormal,,RECTANGLE (145408 512 256 256),AI_Confidence:0.730;Method:MONAI_Demo
AI_Abnormal_141,Abnormal,,RECTANGLE (153600 512 256 256),AI_Confidence:0.937;Method:MONAI_Demo
AI_Abnormal_142,Abnormal,,RECTANGLE (154624 512 256 256),AI_Confidence:0.737;Method:MONAI_Demo
AI_Abnormal_143,Abnormal,,RECTANGLE (159232 512 256 256),AI_Confidence:0.770;Method:MONAI_Demo
AI_Abnormal_144,Abnormal,,RECTANGLE (161280 512 256 256),AI_Confidence:0.914;Method:MONAI_Demo
AI_Abnormal_145,Abnormal,,RECTANGLE (161792 512 256 256),AI_Confidence:0.868;Method:MONAI_Demo
AI_Abnormal_146,Abnormal,,RECTANGLE (163328 512 256 256),AI_Confidence:0.945;Method:MONAI_Demo
AI_Abnormal_147,Abnormal,,RECTANGLE (164864 512 256 256),AI_Confidence:0.847;Method:MONAI_Demo
AI_Abnormal_148,Abnormal,,RECTANGLE (168448 512 256 256),AI_Confidence:0.823;Method:MONAI_Demo
AI_Abnormal_149,Abnormal,,RECTANGLE (168960 512 256 256),AI_Confidence:0.820;Method:MONAI_Demo
AI_Abnormal_150,Abnormal,,RECTANGLE (173568 512 256 256),AI_Confidence:0.712;Method:MONAI_Demo
AI_Abnormal_151,Abnormal,,RECTANGLE (174592 512 256 256),AI_Confidence:0.832;Method:MONAI_Demo
AI_Abnormal_152,Abnormal,,RECTANGLE (176128 512 256 256),AI_Confidence:0.921;Method:MONAI_Demo
AI_Abnormal_153,Abnormal,,RECTANGLE (177152 512 256 256),AI_Confidence:0.726;Method:MONAI_Demo
AI_Abnormal_154,Abnormal,,RECTANGLE (179200 512 256 256),AI_Confidence:0.825;Method:MONAI_Demo
AI_Abnormal_155,Abnormal,,RECTANGLE (180224 512 256 256),AI_Confidence:0.925;Method:MONAI_Demo
AI_Abnormal_156,Abnormal,,RECTANGLE (183808 512 256 256),AI_Confidence:0.792;Method:MONAI_Demo
AI_Abnormal_157,Abnormal,,RECTANGLE (187392 512 256 256),AI_Confidence:0.797;Method:MONAI_Demo
AI_Abnormal_158,Abnormal,,RECTANGLE (188416 512 256 256),AI_Confidence:0.813;Method:MONAI_Demo
AI_Abnormal_159,Abnormal,,RECTANGLE (1024 1024 256 256),AI_Confidence:0.833;Method:MONAI_Demo
AI_Abnormal_160,Abnormal,,RECTANGLE (3584 1024 256 256),AI_Confidence:0.867;Method:MONAI_Demo
AI_Abnormal_161,Abnormal,,RECTANGLE (4608 1024 256 256),AI_Confidence:0.843;Method:MONAI_Demo
AI_Abnormal_162,Abnormal,,RECTANGLE (6144 1024 256 256),AI_Confidence:0.864;Method:MONAI_Demo
AI_Abnormal_163,Abnormal,,RECTANGLE (11264 1024 256 256),AI_Confidence:0.717;Method:MONAI_Demo
AI_Abnormal_164,Abnormal,,RECTANGLE (13312 1024 256 256),AI_Confidence:0.886;Method:MONAI_Demo
AI_Abnormal_165,Abnormal,,RECTANGLE (24576 1024 256 256),AI_Confidence:0.743;Method:MONAI_Demo
AI_Abnormal_166,Abnormal,,RECTANGLE (27136 1024 256 256),AI_Confidence:0.793;Method:MONAI_Demo
AI_Abnormal_167,Abnormal,,RECTANGLE (32768 1024 256 256),AI_Confidence:0.797;Method:MONAI_Demo
AI_Abnormal_168,Abnormal,,RECTANGLE (34304 1024 256 256),AI_Confidence:0.889;Method:MONAI_Demo
AI_Abnormal_169,Abnormal,,RECTANGLE (35840 1024 256 256),AI_Confidence:0.766;Method:MONAI_Demo
AI_Abnormal_170,Abnormal,,RECTANGLE (40448 1024 256 256),AI_Confidence:0.802;Method:MONAI_Demo
AI_Abnormal_171,Abnormal,,RECTANGLE (41472 1024 256 256),AI_Confidence:0.766;Method:MONAI_Demo
AI_Abnormal_172,Abnormal,,RECTANGLE (41984 1024 256 256),AI_Confidence:0.763;Method:MONAI_Demo
AI_Abnormal_173,Abnormal,,RECTANGLE (43008 1024 256 256),AI_Confidence:0.798;Method:MONAI_Demo
AI_Abnormal_174,Abnormal,,RECTANGLE (44032 1024 256 256),AI_Confidence:0.713;Method:MONAI_Demo
AI_Abnormal_175,Abnormal,,RECTANGLE (44544 1024 256 256),AI_Confidence:0.725;Method:MONAI_Demo
AI_Abnormal_176,Abnormal,,RECTANGLE (53248 1024 256 256),AI_Confidence:0.987;Method:MONAI_Demo
AI_Abnormal_177,Abnormal,,RECTANGLE (57856 1024 256 256),AI_Confidence:0.741;Method:MONAI_Demo
AI_Abnormal_178,Abnormal,,RECTANGLE (61440 1024 256 256),AI_Confidence:0.919;Method:MONAI_Demo
AI_Abnormal_179,Abnormal,,RECTANGLE (62464 1024 256 256),AI_Confidence:0.913;Method:MONAI_Demo
AI_Abnormal_180,Abnormal,,RECTANGLE (64000 1024 256 256),AI_Confidence:0.736;Method:MONAI_Demo
AI_Abnormal_181,Abnormal,,RECTANGLE (65024 1024 256 256),AI_Confidence:0.929;Method:MONAI_Demo
AI_Abnormal_182,Abnormal,,RECTANGLE (67072 1024 256 256),AI_Confidence:0.785;Method:MONAI_Demo
AI_Abnormal_183,Abnormal,,RECTANGLE (67584 1024 256 256),AI_Confidence:0.908;Method:MONAI_Demo
AI_Abnormal_184,Abnormal,,RECTANGLE (75776 1024 256 256),AI_Confidence:0.871;Method:MONAI_Demo
AI_Abnormal_185,Abnormal,,RECTANGLE (77312 1024 256 256),AI_Confidence:0.752;Method:MONAI_Demo
AI_Abnormal_186,Abnormal,,RECTANGLE (78336 1024 256 256),AI_Confidence:0.919;Method:MONAI_Demo
AI_Abnormal_187,Abnormal,,RECTANGLE (79872 1024 256 256),AI_Confidence:0.964;Method:MONAI_Demo
AI_Abnormal_188,Abnormal,,RECTANGLE (81408 1024 256 256),AI_Confidence:0.916;Method:MONAI_Demo
AI_Abnormal_189,Abnormal,,RECTANGLE (82432 1024 256 256),AI_Confidence:0.913;Method:MONAI_Demo
AI_Abnormal_190,Abnormal,,RECTANGLE (82944 1024 256 256),AI_Confidence:0.896;Method:MONAI_Demo
AI_Abnormal_191,Abnormal,,RECTANGLE (83968 1024 256 256),AI_Confidence:0.748;Method:MONAI_Demo
AI_Abnormal_192,Abnormal,,RECTANGLE (84992 1024 256 256),AI_Confidence:0.762;Method:MONAI_Demo
AI_Abnormal_193,Abnormal,,RECTANGLE (86016 1024 256 256),AI_Confidence:0.849;Method:MONAI_Demo
AI_Abnormal_194,Abnormal,,RECTANGLE (88064 1024 256 256),AI_Confidence:0.861;Method:MONAI_Demo
AI_Abnormal_195,Abnormal,,RECTANGLE (90112 1024 256 256),AI_Confidence:0.904;Method:MONAI_Demo
AI_Abnormal_196,Abnormal,,RECTANGLE (91136 1024 256 256),AI_Confidence:0.734;Method:MONAI_Demo
AI_Abnormal_197,Abnormal,,RECTANGLE (91648 1024 256 256),AI_Confidence:0.764;Method:MONAI_Demo
AI_Abnormal_198,Abnormal,,RECTANGLE (92160 1024 256 256),AI_Confidence:0.827;Method:MONAI_Demo
AI_Abnormal_199,Abnormal,,RECTANGLE (92672 1024 256 256),AI_Confidence:0.794;Method:MONAI_Demo
AI_Abnormal_200,Abnormal,,RECTANGLE (93184 1024 256 256),AI_Confidence:0.818;Method:MONAI_Demo
AI_Abnormal_201,Abnormal,,RECTANGLE (94720 1024 256 256),AI_Confidence:0.916;Method:MONAI_Demo
AI_Abnormal_202,Abnormal,,RECTANGLE (95232 1024 256 256),AI_Confidence:0.749;Method:MONAI_Demo
AI_Abnormal_203,Abnormal,,RECTANGLE (96256 1024 256 256),AI_Confidence:0.805;Method:MONAI_Demo
AI_Abnormal_204,Abnormal,,RECTANGLE (101888 1024 256 256),AI_Confidence:0.810;Method:MONAI_Demo
AI_Abnormal_205,Abnormal,,RECTANGLE (109056 1024 256 256),AI_Confidence:0.773;Method:MONAI_Demo
AI_Abnormal_206,Abnormal,,RECTANGLE (109568 1024 256 256),AI_Confidence:0.723;Method:MONAI_Demo
AI_Abnormal_207,Abnormal,,RECTANGLE (111104 1024 256 256),AI_Confidence:0.905;Method:MONAI_Demo
AI_Abnormal_208,Abnormal,,RECTANGLE (112640 1024 256 256),AI_Confidence:0.811;Method:MONAI_Demo
AI_Abnormal_209,Abnormal,,RECTANGLE (113152 1024 256 256),AI_Confidence:0.796;Method:MONAI_Demo
AI_Abnormal_210,Abnormal,,RECTANGLE (113664 1024 256 256),AI_Confidence:0.706;Method:MONAI_Demo
AI_Abnormal_211,Abnormal,,RECTANGLE (123904 1024 256 256),AI_Confidence:0.779;Method:MONAI_Demo
AI_Abnormal_212,Abnormal,,RECTANGLE (125952 1024 256 256),AI_Confidence:0.801;Method:MONAI_Demo
AI_Abnormal_213,Abnormal,,RECTANGLE (126976 1024 256 256),AI_Confidence:0.814;Method:MONAI_Demo
AI_Abnormal_214,Abnormal,,RECTANGLE (127488 1024 256 256),AI_Confidence:0.923;Method:MONAI_Demo
AI_Abnormal_215,Abnormal,,RECTANGLE (130048 1024 256 256),AI_Confidence:0.834;Method:MONAI_Demo
AI_Abnormal_216,Abnormal,,RECTANGLE (131072 1024 256 256),AI_Confidence:0.740;Method:MONAI_Demo
AI_Abnormal_217,Abnormal,,RECTANGLE (133120 1024 256 256),AI_Confidence:0.735;Method:MONAI_Demo
AI_Abnormal_218,Abnormal,,RECTANGLE (134656 1024 256 256),AI_Confidence:0.906;Method:MONAI_Demo
AI_Abnormal_219,Abnormal,,RECTANGLE (136704 1024 256 256),AI_Confidence:0.823;Method:MONAI_Demo
AI_Abnormal_220,Abnormal,,RECTANGLE (137728 1024 256 256),AI_Confidence:0.779;Method:MONAI_Demo
AI_Abnormal_221,Abnormal,,RECTANGLE (139776 1024 256 256),AI_Confidence:0.949;Method:MONAI_Demo
AI_Abnormal_222,Abnormal,,RECTANGLE (141824 1024 256 256),AI_Confidence:0.731;Method:MONAI_Demo
AI_Abnormal_223,Abnormal,,RECTANGLE (144384 1024 256 256),AI_Confidence:0.714;Method:MONAI_Demo
AI_Abnormal_224,Abnormal,,RECTANGLE (145920 1024 256 256),AI_Confidence:0.857;Method:MONAI_Demo
AI_Abnormal_225,Abnormal,,RECTANGLE (146432 1024 256 256),AI_Confidence:0.743;Method:MONAI_Demo
AI_Abnormal_226,Abnormal,,RECTANGLE (146944 1024 256 256),AI_Confidence:0.809;Method:MONAI_Demo
AI_Abnormal_227,Abnormal,,RECTANGLE (147456 1024 256 256),AI_Confidence:0.936;Method:MONAI_Demo
AI_Abnormal_228,Abnormal,,RECTANGLE (150016 1024 256 256),AI_Confidence:0.844;Method:MONAI_Demo
AI_Abnormal_229,Abnormal,,RECTANGLE (152576 1024 256 256),AI_Confidence:0.741;Method:MONAI_Demo
AI_Abnormal_230,Abnormal,,RECTANGLE (153088 1024 256 256),AI_Confidence:0.817;Method:MONAI_Demo
AI_Abnormal_231,Abnormal,,RECTANGLE (153600 1024 256 256),AI_Confidence:0.711;Method:MONAI_Demo
AI_Abnormal_232,Abnormal,,RECTANGLE (159744 1024 256 256),AI_Confidence:0.894;Method:MONAI_Demo
AI_Abnormal_233,Abnormal,,RECTANGLE (160768 1024 256 256),AI_Confidence:0.892;Method:MONAI_Demo
AI_Abnormal_234,Abnormal,,RECTANGLE (162304 1024 256 256),AI_Confidence:0.722;Method:MONAI_Demo
AI_Abnormal_235,Abnormal,,RECTANGLE (164352 1024 256 256),AI_Confidence:0.727;Method:MONAI_Demo
